translated_title,translated_description,image,category,subcategory,
Bucha London Natural,Bucha London Natural,https://images.rappi.com.br/products/2092533718-1565806957.png,,,
Toasted Verdemar 4x4 Integral 110 g,Toasted Verdemar 4x4 Integral 110 g,,rice grains and pasta,pasta,
Macarrao Tagliatele Com Espinaf Colavita 500 g,Tagliatele Macarrao With Spinach Colavita 500 g (Key Words: PastaSeca),https://images.rappi.com.br/products/2094653158-1565299480539.png,other frozen foods,other frozen foods,
Mezzani Parmesão Gourmet Raviolone 350 g,Mezzani Parmesão Gourmet Raviolone 350g,https://images.rappi.com.br/products/2089917168-1509059254.png,wines,white wine,
Chi Estate Selection Wine 750Ml Chard,Chi Estate Selection Wine 750Ml Chard,https://images.rappi.com.br/products/2093045697-1543955454.png,cheese,cheeses soft and hard,
Lacfree Un Mozzarella Cheese,Lacfree Un Mozzarella Cheese,https://images.rappi.com.br/products/2098634017-1591410572126.png,deodorants,deodorants,
Take 12 Rexona Fanatico Fanatico Special Edition Soap 84 g,Rexona Torcedor Fanatico Special Edition Soap 84 g,https://images.rappi.com.br/products/2093591314-1559935409.png,lighting and electrical,lighting and electrical,
Bulb Onlux Led 60 Poten 9W White Light Und,Bulb Onlux Led 60 Poten 9W White Light Und,https://images.rappi.com.br/products/2097954482-1588097088082.png,women's shoes,women's shoes,
Havaianas Top Mix Sandal 35X36 Pink,Havaianas Top Mix Sandal 35X36 Pink,https://images.rappi.com.br/products/2095203282-1582135397622.jpg,other drugs,other drugs,
Enalamed 20 mg 30 tablets,Enalamed 20 mg 30 tablets,https://images.rappi.com.br/products/2098107117-1588905431567.png,nutritional health,food supplements,
Carbolift 100% Palatinose 300 g,Carbolift 100% Palatinose 300 g,https://images.rappi.com.br/products/2094175140-1559238716.png,rice grains and pasta,pasta,
Nest Petybon Semolina Pasta with Eggs 500 g,Nest Petybon Semolina Pasta with Eggs 500 g,https://images.rappi.com.br/products/2093724205-1552920524.png,hair care,conditioner,
Conditioner Elseve Total Repair 5 Special Chemistry 200 mL,Conditioner Elseve Total Repair 5 Special Chemistry 200 mL,https://images.rappi.com.br/products/2095078926-1569256743513.png,other frozen foods,other frozen foods,
3x1 Leve 3 Und - Breaded Auroggets Crunchy Aurora 1Kg,"Delicious chicken fingers, super crispy and dry. Kids will love this new flavor at lunch.",https://images.rappi.com.br/products/2093431374-1550024278.png,,,
Pulp Farm Mangai Seriguela 400 g,Pulp Farm Mangai Seriguela 400 g,,hair care,shampoo,
Pantene Hydro-Cauterization Shampoo 200 mL,Pantene Hydro-Cauterization Shampoo 200 mL,https://images.rappi.com.br/products/2098498506-1591747160566.png,preserves,canned vegetables,
Preserved Plasútil Pot With Decorated Drainer 670 mL,Preserved Plasútil Pot With Decorated Drainer 670 mL,https://images.rappi.com.br/products/2093119697-1544547552.png,powdered soft drinks and syrup,syrup,
Coolant Fanta Laranja Zero 2 L,Coolant Fanta Laranja Zero 2 L,https://images.rappi.com.br/products/2095276590-1580513640595.png,men clothes,men clothes,
Camiseta Cleveland Cavaliers Nba,Camiseta Cleveland Cavaliers Nba,https://images.rappi.com.br/products/2098641241-1591642307710.png,skin care,oils and creams,
Class Creme 25 g,Class Creme 25 g,https://images.rappi.com.br/products/2093539582-1581685041916.png,bags and travel accessories,bags and travel accessories,
Mala Abs 4 Rodas Prata 53 Cm Abs4Wsilver,Mala Abs 4 Rodas Prata 53 Cm Abs4Wsilver,https://images.rappi.com.br/products/2096080124-1578317713308.jpg,preserves,canned vegetables,
Pitted Black Frigate Olive,Pitted Black Frigate Olive (product price may vary by weight),,pet accessories,collars and leashes,
Premium Guide 7 Kg-3M Red for Dogs,Premium Guide 7 Kg-3M Red for Dogs,https://images.rappi.com.br/products/2094456052-1563373184.png,television and video,television and video,
Tv Led 136 Cms (55) Uhd Smart,"Led Tv 136 Cms (55 &quot;) Uhd Smart This Tv If It Is Compatible With The Dvb-T2 Standard Uhd Resolution 4K (3840 * 2160) Connectivity Hdmi 2, Usb 2 Sound 20 W Led 55 Webos, Smart Tv Reference 55Uk7500Pda.Awc Warranty 1 Year",https://images.rappi.com/products/1254842-1551211859198.jpg,makeup,eyes makeup,
Sombra Uno Vult Matte Cor 02 3 g,"Eyeshadow Uno Vult Matte Color 02 Active Principle: None MS Record: - Eyeshadow Uno Vult Matte has small particle pigments that allow greater fixation and velvety texture, providing a striking and seductive look. Weight: 17 gr - Dosage: - Manufactures: Vult - Brand: Vult (Key Words: Promotions, Featured offers, Up to 30% off)",https://images.rappi.com.br/products/2094000324-1556291277.png,hair care,conditioner,
Dove Nutrition Oil Conditioner 200 Ml,Dove Nutrition Oil Conditioner 200 Ml,https://images.rappi.com.br/products/2089972422-1530198041.png,waters,flavored water,
FLAVORED WATER FLAVORS 500 mL,FLAVORED WATER FLAVORS 500ML,,juices and nectars,jugos,
One Cashew Fit Natural Juice 900 mL,Natural One Cashew Juice Fit 900 mL,https://images.rappi.com.br/products/2094141419-1558110427.png,wines,white wine,
Argentine Wine Alma Negra Blanco 750 mL,Grape: White,https://images.rappi.com.br/products/2093705808-1552396155.jpg,juices and nectars,jugos,
Nectar De Pêra Sufresh 1 L,Nectar De Pêra Sufresh 1 L,https://images.rappi.com.br/products/2092330609-1529110639.png,bakery,breads,
Perini Kg Honey Bread,PAO MEL PERINI KG,,,,
7 Striped Subjects,7 Striped Subjects,,fresheners and candles,fresheners,
Airwick Aerosol Lavender Bom Ar Air Freshener 360ml,Airwick Aerosol Lavender Bom Ar Aromatizer 360ml (Key Words: odorizer / Air Fresheners),https://images.rappi.com.br/products/2092937783-1579646993507.png,energy and isotonic,energizing,
Monster Energy 473 mL,Monster Energy 473 mL,https://images.rappi.com.br/products/2098483771-1591214166481.png,ice cream and desserts,ice creams,
BEN JERRYS CHOCOLATE FUDGE BROWNIE 458ML,Chocolate flavored ice cream with pieces of chocolate flavored cake,https://images.rappi.com.br/products/2093548803-1550603295.png,snacks and confectionery,gumdrops and candy,
Mentos Chewing Gum Pure White Mint Jar With 28 Units 56 G,Mentos Chewing Gum Pure White Mint Jar With 28 Units 56 G,https://images.rappi.com.br/products/2092503911-1533772107.png,beauty accessories,combs and hairbrushes,
Condor Shana Medium Hair Brush Ref.:6826,Condor Shana Medium Hair Brush Ref.:6826,https://images.rappi.com.br/products/2093683714-1552058268.png,and first aid kit,"syringes, gloves and hospital equipment",
Luva Celeste Vinil M 100 And,Luva Celeste Vinil M 100 And,https://images.rappi.com.br/products/2097903744-1589568853536.png,and first aid kit,"syringes, gloves and hospital equipment",
Vanish Karpex Carpet Cleaner 500 mL,Vanish Karpex Carpet Cleaner 500 mL,https://images.rappi.com.br/products/2098135847-1588989090348.png,cleaning,other cleaners,
Carabao Original Energy Drink 330 mL,Carabao Original Energy Drink 330 mL,https://images.rappi.com.br/products/2096598251-1578405859164.png,energy and isotonic,energizing,
Maple Flavor Maple Flavor 250 mL,D&#39;Gari Maple Flavor Syrup 250 mL - Prices including VAT,https://images.rappi.com.mx/products/975183230-1500005394.png,sugar and sweeteners,sweetener,
Tchaikovsky - Piano Concerto No. 1 & The Nutracker Op. 71A* (Arr,"Certain artists grow up in a kind of relationship with some pieces of music. If anyone has his concert today, this is Martha Argerich. Here on this CD together with Claudio Abbado and Filarmonica Berlin, she recorded this work that translates the work of a lifetime as a music lover. Not only does Argerich find more notes than anyone, she does it spontaneously and naturally. Tchaikovsky&#39;s Conceto n 1 for Piano is among the most famous classical compositions on the planet!",https://images.rappi.com.br/products/2092780900-1540837394.png,audio & sound,audio & sound,
Risovita Coconut Rice Drink 1 L,Risovita Coconut Rice Drink 1 L,https://images.rappi.com.br/products/2098393702-1590821136165.png,juices and nectars,jugos,
Blessing Jelly Organic Sugar Free Strawberry 180 g,Blessing Jelly Organic Sugar Free Strawberry 180 g,,jams and spreads,jams,
Gillette Fusion Charge Razor Blades 2 Units,"Gillette Razor Blades Fusion Charge Proglide Pack of 2 Units. (Key Words: Shaver, Beard, Gilette, Prestobarba, Razor Blade, Shaver Refill, Lamina Refill, Gillete Charge, Mach3)",https://images.rappi.com.br/products/2092939995-1568240094.png,waxing and shaving,preparation and shaved,
Mortadella Bol Trad Ceratti Sliced Conv 200 g,Mortadella Bol Trad Ceratti Sliced Conv 200 g,https://images.rappi.com.br/products/2094655667-1565300771003.png,delicatessen,salamis and sausages,
"Lrp Anth Airlic Fps70 Morena 50G,","Anthelios Airlicium Skin Protector FPS70 Active Principle: None MS Record: - Anthelios Airlicium Skin Protector FPS70 protects against UVA and UVB rays and all causes of shine (oil and moisture) are controlled, providing a clean and smooth skin feeling fresh all day. Without weighing the skin, Airlicium technology with mattifying microparticles encapsulated in 99% air, offers intelligent brightness control, dynamically activated whenever the skin produces oil or moisture. Weight: 72 gr - Dosage: - Manufactures: None - Brand: La Roche-Posay (Key Words: Your Beauty, Skin Care, Sunscreen)",https://images.rappi.com.br/products/2092811278-1557813169205.png,skin care,solar protection,
Kit with 02 Nivea Body Milk Moisturizers 400ml With 40% Discount On,Kit with 02 Nivea Body Milk Moisturizers 400ml With 40% Discount On Second Package,https://images.rappi.com.br/products/19207386-1580234323918.png,skin care,other skin care,
Glutamina Glutapure Ultimate Nutrition Natural 1 Kg,Glutamina Glutapure Ultimate Nutrition Natural 1 Kg,https://images.rappi.com.br/products/2097775558-1586443102389.png,nutritional health,food supplements,
Dutch Tomato Terroa Tray 800 g,Dutch Tomato Terroa Tray 800 g,https://images.rappi.com.br/products/2095143713-1568910263126.png,fruits and vegetables,fruits,
Rectangular Disposable Pot Lid 350 mL Prafesta 24 Und,Rectangular Disposable Pot Lid 350 mL Prafesta 24 Und,,disposables,other disposable,
Take 4 Pay 3 - Brazilian Coffee Powder 250 g,Take 4 Pay 3 - Brazilian Coffee Powder 250 g,https://images.rappi.com.br/products/2094417720-1562444439086.png,"coffee, tea and milk modifiers",coffee,
Kinder Ovo Dinos 20g,Dinos Edition Milk Chocolate Egg with Milk Filling,https://images.rappi.com.br/products/2096507989-1585596564882.png,games,other toys,
Metaltex 22cm Acrylic Mill For Salt Pepper And Spices,Metaltex 22cm Acrylic Mill For Salt Pepper And Spices,https://images.rappi.com.mx/products/975659597-1536366238.png,kitchen,kitchen,
Cheese Leggeritos 100G,Cheese Leggeritos 100G,https://images.rappi.com.br/products/2090189391-1556134594.png,snacks and confectionery,savory snacks,
Light Gold Fine Fine Mineral Water 310 ml,Light Gold Fine Fine Mineral Water 310 mL. (Key Words: drink / mineral water),https://images.rappi.com.br/products/2093556046-1550579675.png,waters,natural water,
Casa Cipriani Integral Blueberry Juice 1 L,Casa Cipriani Integral Blueberry Juice 1 L,https://images.rappi.com.br/products/2093039737-1544450381.png,juices and nectars,jugos,
Sundown Sunscreen SPF 30 200 mL,"Sundown Sunscreen SPF 30 200 mL. (Key Words: Beach, Sunscreen, Sun, Sun Protection, Sunscreen Spray)",https://images.rappi.com.br/products/2093691666-1552059420.png,skin care,solar protection,
Capstar 57 Mg,Capstar 57 Mg,https://images.rappi.com.br/products/2094442505-1563209541.png,medicines,pet medications,
Progemex Honey Compound Propolis Extract Guaco Pronatu 150 g,Progemex Honey Compound Propolis and Guaco Pronatu Extract 150 g,https://images.rappi.com.br/products/2098358723-1590179933362.png,jams and spreads,honey,
H20h!,500ml,,waters,flavored water,
Kibon Magnum Celebration Popsicle 80 g,Kibon Magnum Celebration Popsicle 80 g,https://images.rappi.com.br/products/2096512382-1576532069587.png,ice cream and desserts,ice creams,
Enax 200 mg 30 Tablets,Enax 200 mg 30 Tablets,https://images.rappi.com.br/products/2095187091-1583529419024.png,other drugs,other drugs,
Gel Fixador Fiorucci Cola Protect X-Care 350g,Gel Fixador Fiorucci Cola Protect X-Care 350g,https://images.rappi.com.br/products/2089940728-1499807409.png,hair care,modeling and styling,
Vult HD Liquid Base High Coverage B-20,Vult HD Liquid Base High Coverage B-20,https://images.rappi.com.br/products/2098130392-1588994957831.png,makeup,face makeup,
Ninja Hikaru Cachivaches 1 und,Ninja Hikaru Cachivaches 1 und PLU: 1331630,,,,
Nestlé Baby Chicken Soup. Pasta 115 g,Nestlé Baby Chicken Soup. Pasta 115 g,https://images.rappi.com.br/products/2092983640-1583276193764.png,formulas and foods,baby food,
Simple and Sublime - Vegetarian Cuisine for Modern Life,"Simple recipes is the high spirit when preparing food. This is the proposal of &#39;Simple and sublime&#39; with a selection of creative and tasty lactovegetarian recipes - and an oriental touch -, chefs Isik Polater and Manju Patel seek to promote physical and spiritual health. Quick and easy to make, &#39;Simple and sublime&#39; dishes are designed to serve the modern lifestyle and cater to both those who wish to become vegetarians and do not know where to start as long-time vegetarians, providing them with novelty and diversity",https://images.rappi.com.br/products/2092772557-1540829197.png,paper books,paper books,
Bic Cristal Ballpoint Pen 0.8Mm 1 Blue - 1 Black - 1,Bic Cristal Ballpoint Pen 0.8Mm 1 Blue - 1 Black - 1,https://images.rappi.com.br/products/2093808595-1553880984.png,office supplies,office supplies,
Mini Soap Kanitz Much Love Lilac 160 g,Mini Soap Kanitz Much Love Lilac 160 g,https://images.rappi.com.br/products/2097298593-1583332121944.png,hygiene and care,shampoo and soap,
Activ Drink 20 Effervescent Tablets,Activ Drink 20 Effervescent Tablets,https://images.rappi.com.br/products/2093511574-1550600822.png,energy and isotonic,energizing,
Goma The Mascar Dtc Aauh! 45 g,Goma The Mascar Dtc Aauh! 45 g,https://images.rappi.com.br/products/2093685179-1552058494.png,snacks and confectionery,gumdrops and candy,
Red Wine Portillo Malbec 750 mL,Red Wine Portillo Malbec 750 mL,https://images.rappi.com.br/products/2097753022-1586287113647.png,wines,red wine,
Bio Whey Vanilla Stevia Performance 907 g,Bio Whey Vanilla Stevia Performance 907 g,https://images.rappi.com.br/products/2097569836-1586888725789.png,nutritional health,food supplements,
Blue Bone Half Size P,Blue Bone Half Size P,https://images.rappi.com.br/products/2093480516-1550081487.png,pet accessories,other pet accessories,
Cut X 30G Hot - 1 U,Cut X 30G Hot - 1 U PLU: 1585809,,,,
Ypê Neutral Soap 200 g,Ypê Neutral Soap 200 g,https://images.rappi.com.br/products/2098498179-1591745209891.png,cleaning soaps and,soaps,
Cook Kellog Int Cacau By Chia 150 g,Cook Kellog Int Cacau By Chia 150 g,https://images.rappi.com.br/products/2095204728-1569419451432.png,snacks and confectionery,cookies,
Seskavel Plus Cap,Seskavel Plus Cap-Product: Hair Size - Skin,https://images.rappi.com/products/2091740204-1587028889742.jpg,nutritional health,food supplements,
Cheetos Lua Snacks 51g,"Cheetos parmesan moon, classic snack of the irreverent Chester Cheetah. Snacks made with corn and sunflower oil, considered good fat because it is rich in Omega 6, are baked, have an irresistible flavor of Parmesan cheese and traditional moon shape. Perfect anytime, for the good times in life. (Key Words: Snack / Treats)",https://images.rappi.com.br/products/2092918436-1543489148.png,snacks and confectionery,savory snacks,
Johnson´S Baby Milk Moisturizing Soap 80G,"JOHNSON´S Baby Milk Hydrating Soap 80g. (Key Words: Soap, Infant, Soap Infant, Child, Baby, Soap, Soap Infant, Soap, Baby, Soap Bar, Soap Bar)",https://images.rappi.com.br/products/2093080252-1579551918974.png,hygiene and care,shampoo and soap,
Collagen Renew Limao Nutrify 300 g,Collagen Renew Limao Nutrify 300 g,https://images.rappi.com.br/products/2098156547-1589227781092.png,vitamins and minerals,multivitamins,
Australian De Bortoli Yarra Valley Yarra Valley,Australian De Bortoli Yarra Valley Yarra Valley,https://images.rappi.com.br/products/2093676954-1563390753.png,wines,red wine,
Creole Spice Mix Bombay Pouch 40 g,"This mixture of spices and peppers is the secret of Louisiana, in the United States. Use the Creole Spice Mix to prepare stews with: beef and pork, chicken, fish or vegetables. Ingredients: sweet paprika, salt, garlic, black pepper, onion, chili pepper, oregano and thyme. Gluten-free.",https://images.rappi.com.br/products/2095067738-1571319607772.jpg,seasonings,species,
"Tomio Fukuda - Maragogipe Fazenda Baú (Lagoa Formosa, Mg) 250 g",Grain or ground? species: Coffea arabica variety: Maragogipe process: Natural vintage: 2019/20 type: elegant Net weight: 250g,https://images.rappi.com.br/products/2097603719-1585083304119.jpeg,"coffee, tea and milk modifiers",coffee,
3x1 Children&#39;s cereal MUCILON multicereais 230g,"Cereal for infant feeding with probiotic - Multicereais. Contains NutriPROTECT +, Nestlé&#39;s exclusive combination of probiotic * Bifidus BL and essential nutrients like Zinc, Vitamin A, Vitamin C and Iron. Specific to complement the feeding of infants from the 6th month and a great option for intermediate snacks. CONTAINS GLUTEN .. (Key Words: Cereal, Infant Cereal, Infant Nutrition, Baby, Child, Infant, Mom, Food Supplement, Mucilon)",https://images.rappi.com.br/products/2093448270-1568209841095.png,formulas and foods,baby food,
Margarina Campi,Of. Spreadable Paisa Pay 400 gr Bring 500 gr - PLU: 321401,,margarines and shortenings,margarine,
Waxed Paper Reynolds Wax Paper 10 MX 30 Cm Box 1 U,Reynolds waxed paper for baking and preparing food. - Prices with VAT included,https://images.rappi.com.mx/products/975209885-1500021727.png,disposables,waxed paper,
Eco Kids Owl Swimwear Short Pajamas,Short Doll Mg Short 1/2 Mesh Owl Fabric In 100% Cotton Touch Soft And Light,https://images.rappi.com.br/products/2092930620-1550513197.jpg,clothing,clothing,
Chilean Red Wine Silva Carmenere 750 mL,Vh Chi Tt C.Silva Carmenere Res,https://images.rappi.com.br/products/2089942390-1580995051536.png,wines,red wine,
Kit Glycerin Soap Bar Augusto Caldas Sulfur 80 g 3 Und,Kit Glycerin Soap Bar Augusto Caldas Sulfur 80 g 3 Und,https://images.rappi.com.br/products/2094313080-1560869347370.png,hygiene and care,shampoo and soap,
Cotton Bikini Briefs Poazinho,Cotton Bikini Briefs Poazinho,,men clothes,men clothes,
Newface R14 Linear,"NewFace R14 Linear Eye Liner Brush This brush from NewFace Brushes is made with exclusive CosmeFibre bristles, a revolutionary fiber designed for the application of cosmetic and makeup products, without absorbing products.",https://images.rappi.com.br/products/2094087004-1559656896.jpg,beauty accessories,"tweezers, brushes and profilers",
Antisséptico Bucal Cepacol Tutti Frutti Solução 250 mL,Antisséptico Bucal Cepacol Tutti Frutti Solução 250 mL,https://images.rappi.com.br/products/2095183355-1582213425744.png,oral care,mouthwash,
Cool gear bottle with double function lid 710 mL,Cool gear bottle with double function lid 710 mL,https://images.rappi.com.mx/products/975657295-1536364977.png,,,
Cognac Hammer Cordon Bleu Bottle 700 mL,Cognac Hammer Cordon Bleu Bottle 700 mL,https://images.rappi.com.mx/products/975382444-1515709312.png,liqueurs and aperitifs,cognac,
Bermuda Men&#39;s Casual Yarn Red Beige 2Essential For Men,Bermuda Men&#39;s Casual Yarn Red Beige 2Essential For Men,https://images.rappi.com.br/products/2097345227-1583767046460.png,men clothes,men clothes,
Maggi Seasoning Chicken Sauce Base 25 g,Maggi Seasoning Chicken Sauce Base 25 g,https://images.rappi.com.br/products/2096657885-1578679936226.png,seasonings,other sauces,
Insecticide Baits for Mice Mortein 15 g,Insecticide Baits for Rats Mortein 15 g (Key Words: Insecticide),https://images.rappi.com.br/products/2093219226-1547842935.png,pest control,you rodenticides,
Rosucor 20 Mg With 60 Tablets,"Rosucor 20mg Active Ingredient: ROSUVASTATINA CALCICA MS Record: 1052500430088 ROSUCOR 20MG IS A MEDICINE. ITS USE MAY BRING RISKS. SEEK A PHYSICIAN OR PHARMACEUTICAL. READ THE BULA. MEDICATIONS CAN CAUSE UNWANTED EFFECTS. AVOID SELF-MEDICATION: INQUIRY WITH PHARMACEUTICAL. Sale under medical prescription. Weight: 50 gr - Dosage: 20mg Manufacture: Torrent - Brand: Torrent IF THE SYMPTOMS PERSIST, THE DOCTOR SHOULD BE CONSULTED. (Key Words: Health, Medicines, Weight Loss)",https://images.rappi.com.br/products/19208321-1590417109343.png,other drugs,other drugs,
Pampers Supersec Diaper Size M 30 Und,Pampers Supersec Diaper Size M 30 Und,https://images.rappi.com.br/products/2096348785-1581013269559.png,diapers and wipes,diapers,
Arab Pan Tortillas,Pan Arabe Integral - PLU: 548770,,bakery,breads,
Igora Tincture 9-00 Extra Light Blonde Tube 50 mL,Igora Tincture 9-00 Extra Light Blonde Tube 50 mL,,hair care,coloration,
Colorama Nail Polish Care Drying Oil 8 mL,Colorama Nail Polish Care Drying Oil 8 mL,https://images.rappi.com.br/products/2095080225-1569259293056.png,makeup,makeup nails,
Whisky Red Label 1 L,Whisky Red Label 1 L,,liqueurs and aperitifs,whiskeys,
Solly Soy 200 mL,Solly Soja 200 mL (Key Words: Suco/nestle),https://images.rappi.com.br/products/2093548510-1550603276.png,milk,other milks,
Nut Ginger Cookie,Biscuit Nut Ginger Doll 150 g,,snacks and confectionery,cookies,
Visual Pocket Guide New York,"The &quot;New York Pocket Visual Guide&quot; offers the best attractions, shops and restaurants in Manhattan, Harlem, Central Park, Tribeca, Seaport and SoHo, among others.",https://images.rappi.com.br/products/2092734232-1540570360.png,paper books,paper books,
Desodorante Clear Gel Cool Wave Gillette,"Gillette Clear Gel Cool Wave Deodorant - 82 G. (Key Words: Body Care, Skin Care, Beauty, Hygiene, Deodorant, Anti Perspirant, Antiperspirant, Aerosol)",https://images.rappi.com.br/products/2094256836-1559852076.png,deodorants,deodorants,
Desodorante Playboy New York 24H 150 mL,Desodorante Playboy New York 24H 150 mL,https://images.rappi.com.br/products/2094593727-1564679101.png,deodorants,deodorants,
Eyeliner Brush,"Angulo Studio Basic Eyeliner Brush, 1 Unit (s)",https://images.rappi.com/products/1029712-1-1457194819.png,beauty accessories,"tweezers, brushes and profilers",
Tapioca Escosa Pearls 500 g,Tapioca Escosa Perlas 500 g - Prices including VAT,https://images.rappi.com.mx/products/975215622-1501862966.png,,,
Milk l Vid Piracanjuba Integral 1l - Take 6 pay 5,Milk l Vid Piracanjuba Integral 1l - Take 6 pay 5,https://images.rappi.com.br/products/2092577972-1536072645.png,milk,natural milk,
Bcaa Powder Blackberry Lemonade 300 g,Bcaa Powder Blackberry Lemonade 300 g,https://images.rappi.com.br/products/2095302061-1572637214768.png,vitamins and minerals,multivitamins,
Colorama Nail Polish Vou De Rosa 8 mL,"Colorama Vou de Rosa Gel Enamel Active Principle: None MS Registration: - Vou de Rosa Colorama Gel Enamel has 10 days duration and gel shine, intense color and uniform coverage. Weight: 35.8 gr - Dosage: - Manufacture: L´Oréal - Brand: Colorama (Key Words: Your Beauty, Nail, Enamels)",https://images.rappi.com.br/products/2093779297-1565358244940.png,makeup,makeup nails,
Lettuce Crespa Organic Market,Lettuce Crespa Organic Market,https://images.rappi.com.br/products/2094797810-1567454420961.jpg,fruits and vegetables,vegetables,
Organic Ecobone Bone for Dogs Knot 5/6,"The Organic Ecobone Bone for Dogs Node 5/6 is an organic and fun appetizer that will brighten up your pet&#39;s daily life. In addition to helping with oral hygiene, cleaning the accumulated tartar on the teeth, its composition is ecologically correct with ingredients that do not threaten nature or your dog. | Pet: Dogs | Breed Size: Medium | Age: Adult and Puppy | Quantity : 250g or 1 Unit | Composition: Basic composition: Organic Flour. Polyvinyl acetate, textured soy protein, cassava extract, potato extract, corn starch, emulcifier (vegetable oil), flavorings, wheat bran, wheat germ bran, soybean meal, sodium chloride (common salt) , premix pet. Corn (transgenic): bacillo thuringlensis, streptomyces viridochromogenes, agrobacterium tumefaciens. Soy (transgenic): streptomyces viridochromogenes, arabidopsis thaliana, agrobacterium tumefaciens, bacilli thuringlensis. Possible substitutes: Ground barley, ground millet, ground whole sorghum, gluten bran minho21%, ground wheat, ground beans, fatty rice bran, ground oats, ground rye, ground triticale.",https://images.rappi.com.br/products/2094790788-1566331436337.png,pet food,dog food,
Don Pedro candles,Velon N. 2L - PLU: 105798,https://images.rappi.com/products/105798-1531780559.png,fresheners and candles,candles,
Papaya Und Papaya,Papaya Und Papaya,https://images.rappi.com.br/products/2097851076-1588346896383.jpg,fruits and vegetables,fruits,
Scorpion Frontera Pepper Sauce 89 mL,Scorpion Frontera Pepper Sauce 89 mL,https://images.rappi.com.br/products/2094060324-1556826758.jpg,seasonings,other sauces,
Acebrophylline Medley Generic Pediatric Syrup 120 mL,Acebrophylline Medley Generic Pediatric Syrup 120 mL,https://images.rappi.com.br/products/2097291770-1583327607613.png,digestive health,anti-pollution,
King Arthur Brown Rice Type 1 1 Kg,King Arthur Brown Rice Type 1 1 Kg,https://images.rappi.com.br/products/2098255737-1589900866518.jpg,rice grains and pasta,rice,
Oxipelle Solution 20 mL,Oxipelle Solution 20 mL,https://images.rappi.com.br/products/2094084005-1581527984401.png,dermatological care,topical antimycotic,
Johnson &amp; Johnson Swab Pot 150 U,"The swab flexible rods are unbreakable, providing safety and comfort. Its cotton tips do not lint, as its base contains grooves that allow a safe and hygienic fixation. The pure cotton of swabs receives a special anti-germ treatment that keeps it free from contamination. (Key Words: Flexible Stems, Swab, Hygiene, Ear)",https://images.rappi.com.br/products/2090127435-1579548826374.png,hygiene and care,swabs,
Culinary Sweetener Linea Sucralose 70g,Culinary Sweetener Linea Sucralose 70g,,sugar and sweeteners,sweetener,
Salma Roasted Peanuts 1 g,Salma Roasted Peanuts 1 g PLU: 1324397,,snacks and confectionery,nuts and seeds,
Neutral Anti-Mold Brisa Light Deodorizer 130 g,Neutral Anti-Mold Brisa Light Deodorizer 130 g,https://images.rappi.com.br/products/2096795580-1579720660389.jpg,fresheners and candles,fresheners,
Cards Uefa 2016-2017,Cards Uefa 2016-2017,,cards,cards,
Pampers Confort Sec Pants Diaper Size M,"Pampers Confort Sec Pants Diaper Size M Active Ingredient: NISTATINA, ZINC OXIDE MS Record: - Pampers Confort Sec Pants diaper has a 360 ° elastic waist and is easy to put on even when they are on the move, for a perfect fit and up to 12 hours for your baby dry. Weight: 970 gr - Dosage: - Manufactures: P&amp;G - Brand: Pampers (Key Words: Children&#39;s Stuff, Diapers and Changing, Diapers)",https://images.rappi.com.br/products/2093907863-1583278103339.png,diapers and wipes,diapers,
Sparkling Cider Cereser Peach With Alcohol 660 mL,Sparkling Cider Cereser Peach With Alcohol 660 mL,https://images.rappi.com.br/products/2096606252-1579041271789.png,beers and ciders,ciders,
Pom Pom Protek XG Diapers Economy Pack 22 Pcs,Pom Pom Protek XG Diapers Economy Pack 22 Pcs,https://images.rappi.com.br/products/2096711135-1578671832227.png,diapers and wipes,diapers,
Green Melon Cut Kg,MELAO VERDE CORTE KG,,fruits and vegetables,fruits,
Integral Granola with Fruits and Honey Grain Flakes Jasmine 300g,"A combination specially prepared with grains, cereals and nuts and or fruits for the main meal of the day, breakfast. It offers fibers, proteins, vitamins and minerals, contributing to the supply of energy and disposition for your daily life.",https://images.rappi.com.br/products/2092912277-1543489618.png,"cereals, corn flakes and granola",granolas,
Appe Pie,"(Individual) Traditional American apple pie. stuffed with real granny smith apples, cinnamon, sugar and nutmeg. served hot with a scoop of vanilla ice cream and topped with delicious caramel sauce.",,pizzas and savory pies,pizzas and savory pies,
Seasoning Easy Knife Hikari Roasted Fish 25 g,Seasoning Easy Knife Hikari Roasted Fish 25 g,https://images.rappi.com.br/products/2093326430-1549390554.png,seasonings,species,
Be Aurora 01 Facial Concealer Nude Clear,Be Aurora 01 Facial Concealer Nude Clear,https://images.rappi.com.br/products/2097452776-1584386581293.png,makeup,face makeup,
Cake Int Maca C Cinnamon Romanatto 300 g,Cake Int Maca C Cinnamon Romanatto 300 g,,bakery,cakes and ponques,
Liars Olinda-3 ° Lote - 02/03 - Un,"Liars Olinda-3 ° Lote - 02/03 - Un PLACE: CARNAVAL DE OLINDA ADDRESS: Rua São Bento, n 200 LINE UP: COMING SOON",,,,
Pasta Eggs Emegê Ave- Maria 500 g,Pasta Eggs Emegê Ave- Maria 500 g,https://images.rappi.com.br/products/2093586912-1559140266.png,rice grains and pasta,pasta,
Proquident Dental Prosthesis Brush X 1 Und,Proquident Dental Prosthesis Brush X 1 Und,https://images.rappi.com/products/1111256725-1539975027.png,oral care,tooth-brushes,
